# Emission spectrum of  in cyclohexane
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by  on on 06-13-1995 
# using a Spex FluoroMax.   The excitation and emission monochromators were set at 1 mm, giving a spectral bandwidth of 4.25 nm.  The data interval was 0.5 nm and the integration time was 2.0 sec. Samples were prepared in 1cm pathlength quartz cells with absorbance less than 0.1 at the excitation and all emission wavelengths to uniformly illuminate across the sample, and to avoid the inner-filter effect.  The dark counts were subtracted and the spectra were corrected for wavelength-dependent instrument sensitivity.
#
##Wavelength (nm)	Emission (AU)
300	27499
300.5	29695
301	32732
301.5	34485
302	36873
302.5	40583
303	43798
303.5	47493
304	51154
304.5	55772
305	61129
305.5	65427
306	74860
306.5	83068
307	96860
307.5	106486
308	124381
308.5	140361
309	163774
309.5	179469
310	208672
310.5	237976
311	280774
311.5	312471
312	364047
312.5	411799
313	478512
313.5	529066
314	609053
314.5	677691
315	775278
315.5	842407
316	949803
316.5	1053490
317	1170495
317.5	1247161
318	1358066
318.5	1444501
319	1550973
319.5	1619018
320	1702812
320.5	1776922
321	1852435
321.5	1896945
322	1947623
322.5	1975675
323	1991090
323.5	1990928
324	1980841
324.5	1964565
325	1934420
325.5	1919354
326	1885075
326.5	1858242
327	1841172
327.5	1827190
328	1814224
328.5	1812342
329	1818577
329.5	1829682
330	1852303
330.5	1879356
331	1926639
331.5	1964240
332	2019637
332.5	2070269
333	2127144
333.5	2171533
334	2225595
334.5	2271328
335	2323271
335.5	2351089
336	2386013
336.5	2405315
337	2414902
337.5	2420349
338	2415553
338.5	2402410
339	2379551
339.5	2353918
340	2318381
340.5	2274539
341	2226785
341.5	2189095
342	2142540
342.5	2093536
343	2033553
343.5	2001021
344	1955577
344.5	1922926
345	1886565
345.5	1853373
346	1828374
346.5	1803652
347	1778798
347.5	1767521
348	1752528
348.5	1744792
349	1734926
349.5	1733347
350	1730460
350.5	1724706
351	1722465
351.5	1717780
352	1708390
352.5	1708135
353	1700897
353.5	1686704
354	1678818
354.5	1665738
355	1644200
355.5	1624702
356	1596071
356.5	1571185
357	1536464
357.5	1508634
358	1476761
358.5	1440568
359	1403093
359.5	1369381
360	1327931
360.5	1291185
361	1247025
361.5	1218699
362	1176952
362.5	1143605
363	1103706
363.5	1075972
364	1039492
364.5	1012863
365	982097
365.5	964953
366	941348
366.5	921373
367	900486
367.5	885675
368	868839
368.5	851223
369	836704
369.5	823268
370	808970
370.5	797936
371	780224
371.5	771965
372	758436
372.5	742898
373	729131
373.5	717285
374	703209
374.5	690390
375	674558
375.5	661339
376	649117
376.5	634044
377	618078
377.5	607783
378	590336
378.5	576954
379	560588
379.5	548969
380	530705
380.5	514508
381	496042
381.5	482587
382	464389
382.5	450335
383	433028
383.5	420323
384	405133
384.5	390354
385	376988
385.5	367731
386	355987
386.5	345169
387	335054
387.5	326690
388	317111
388.5	308674
389	302167
389.5	295969
390	288076
390.5	280526
391	273647
391.5	267423
392	261040
392.5	255330
393	248476
393.5	242746
394	237143
394.5	231427
395	224722
395.5	221683
396	215506
396.5	209760
397	202883
397.5	199485
398	194104
398.5	189316
399	183046
399.5	179343
400	173333
400.5	169282
401	162487
401.5	157762
402	153397
402.5	149553
403	143207
403.5	139601
404	133893
404.5	129367
405	125049
405.5	121295
406	117180
406.5	113300
407	108772
407.5	106251
408	102234
408.5	98608
409	94662
409.5	92029
410	89084
410.5	86005
411	83008
411.5	81364
412	77383
412.5	75935
413	73570
413.5	71875
414	69802
414.5	67179
415	65795
415.5	64487
416	61910
416.5	60502
417	58842
417.5	57881
418	55801
418.5	54299
419	53002
419.5	51913
420	50531
420.5	49198
421	47687
421.5	46902
422	45455
422.5	44329
423	42762
423.5	41720
424	40778
424.5	39724
425	38338
425.5	37571
426	36811
426.5	35599
427	34230
427.5	34008
428	32696
428.5	31595
429	30541
429.5	29553
430	28713
430.5	28139
431	26835
431.5	26347
432	25364
432.5	24379
433	23931
433.5	23233
434	22304
434.5	21942
435	21366
435.5	20672
436	19929
436.5	19351
437	18786
437.5	18438
438	17981
438.5	17294
439	16928
439.5	16992
440	16266
440.5	15677
441	15491
441.5	14910
442	14753
442.5	14300
443	14008
443.5	13742
444	13483
444.5	13271
445	13082
445.5	12627
446	12195
446.5	12305
447	11828
447.5	11848
448	11317
448.5	11272
449	10869
449.5	10720
450	10437
450.5	10151
451	10009
451.5	9760
452	9759
452.5	9397
453	9286
453.5	9135
454	8685
454.5	8743
455	8309
455.5	8280
456	8101
456.5	8019
457	7854
457.5	7467
458	7532
458.5	7421
459	7147
459.5	7088
460	6982
460.5	6897
461	6645
461.5	6573
462	6489
462.5	6251
463	6212
463.5	6299
464	5982
464.5	6076
465	5886
465.5	5991
466	5815
466.5	5728
467	5496
467.5	5588
468	5482
468.5	5414
469	5293
469.5	5323
470	5294
470.5	5179
471	5172
471.5	5178
472	5012
472.5	4875
473	4904
473.5	4942
474	4746
474.5	4787
475	4808
475.5	4554
476	4587
476.5	4609
477	4552
477.5	4524
478	4368
478.5	4438
479	4404
479.5	4230
480	4314
480.5	4077
481	4232
481.5	4139
482	4179
482.5	4094
483	4123
483.5	4026
484	4070
484.5	4068
485	4015
485.5	3933
486	3951
486.5	3809
487	3831
487.5	3814
488	3748
488.5	3775
489	3837
489.5	3826
490	3675
490.5	3758
491	3791
491.5	3654
492	3683
492.5	3580
493	3761
493.5	3528
494	3563
494.5	3556
495	3435
495.5	3521
496	3568
496.5	3618
497	3413
497.5	3505
498	3452
498.5	3367
499	3464
499.5	3399
500	3516
